filename,FLOPs,Unit
IElementMementoProvider.java,36.524G,85.132M
IElementMementoRequest.java,33.976G,85.132M
IMementoConstants.java,101.074G,85.132M
MementoUpdate.java,365.221G,85.132M
MemoryViewElementMementoProvider.java,355.878G,85.132M
RegisterGroupMementoProvider.java,115.513G,85.132M
StackFrameMementoProvider.java,175.817G,85.132M
XMLMemento.java,3.047T,85.132M
ConfigurationElementMemento.java,856.993G,85.132M
IMemento.java,188.557G,85.132M
IMementoAware.java,46.716G,85.132M
XMLMemento.java,3.507T,85.132M
MessageServerSingleton.java,365.221G,85.132M
ProcedureServiceFactory.java,264.998G,85.132M
AbstractClassDefVisitor.java,205.544G,85.132M
AbstractItemVisitor.java,127.404G,85.132M
IAttributeVisitor.java,122.308G,85.132M
IClassDefVisitor.java,77.293G,85.132M
ICONSTANTVisitor.java,157.131G,85.132M
IItemVisitor.java,62.854G,85.132M
IOpcodeVisitor.java,29.899G,85.132M
AccessControl.java,166.304G,85.132M
AccessControlProvider.java,234.507G,85.132M
ImmutableExample.java,166.304G,85.132M
IntelligentStudent.java,220.493G,85.132M
Main.java,194.333G,85.132M
Prototype.java,22.425G,85.132M
Student.java,252.258G,85.132M
StudentRegistry.java,97.167G,85.132M
TestPrototypePattern.java,262.535G,85.132M
User.java,482.091G,85.132M
Vehicle.java,206.478G,85.132M
AboveTimedSSLSocketFactory.java,551.228G,85.132M
RunFacade.java,307.381G,85.132M
SocketFactory.java,42.979G,85.132M
coffe.java,245.718G,85.132M
Database.java,156.961G,85.132M
DatabaseC.java,169.107G,85.132M
DocExport.java,174.713G,85.132M
Document.java,212.084G,85.132M
Ecommerce.java,181.253G,85.132M
food.java,210.215G,85.132M
Game.java,171.910G,85.132M
GUI.java,415.757G,85.132M
Logger.java,175.647G,85.132M
Logging.java,190.596G,85.132M
Music.java,195.267G,85.132M
Next.java,173.778G,85.132M
Noitf.java,188.727G,85.132M
Notif.java,193.398G,85.132M
Payment.java,193.398G,85.132M
Report.java,159.764G,85.132M
Shape.java,154.159G,85.132M
Shipping.java,185.924G,85.132M
Vehicle.java,237.310G,85.132M
Video.java,186.858G,85.132M
Voiture.java,195.267G,85.132M
wiki2.java,250.390G,85.132M
FastNodeBuilderFactory.java,283.089G,85.132M
FatNodeBuilderFactory.java,311.118G,85.132M
FuriousNodeBuilderFactory.java,312.986G,85.132M
LimitModeTreeBuilderFactory.java,909.992G,85.132M
MapperTreeBuilder.java,1.331T,85.132M
AA.java,270.944G,85.132M
BB.java,371.846G,85.132M
CC.java,240.112G,85.132M
Complier.java,244.784G,85.132M
EclipseFacade.java,152.290G,85.132M
Home.java,440.049G,85.132M
Main.java,354.095G,85.132M
Online.java,312.052G,85.132M
ProjectFacade.java,1.186T,85.132M
Room.java,379.320G,85.132M
Test.java,114.919G,85.132M
